security,date,open,high,low,close,volume
AAA,2024-01-02,101.72,102.01,101.44,101.47,1568677
BBB,2024-01-02,49.71,49.75,49.50,49.60,2313522
ZZZ,2024-01-02,12.04,12.14,11.87,11.99,570375
AAA,2024-01-03,100.22,101.04,100.13,100.66,473703
BBB,2024-01-03,49.71,49.82,49.55,49.72,1977685
ZZZ,2024-01-03,12.34,12.53,12.28,12.29,1009260
AAA,2024-01-04,101.47,101.66,101.32,101.32,2276004
BBB,2024-01-04,49.38,49.46,49.18,49.39,2986531
ZZZ,2024-01-04,12.64,12.67,12.59,12.66,791603
AAA,2024-01-05,101.32,101.42,100.41,101.30,479534
BBB,2024-01-05,49.78,49.98,49.62,49.71,1097426
ZZZ,2024-01-05,12.24,12.40,12.06,12.24,2327255
AAA,2024-01-08,102.47,102.80,102.38,102.72,1497503
BBB,2024-01-08,49.77,49.90,49.69,49.89,2718653
ZZZ,2024-01-08,12.13,12.17,12.12,12.13,480631
AAA,2024-01-09,102.45,102.62,102.31,102.36,1689112
BBB,2024-01-09,50.08,50.35,50.00,50.05,462031
ZZZ,2024-01-09,11.63,11.68,11.50,11.59,2684913
AAA,2024-01-10,102.52,102.77,102.42,102.50,455873
BBB,2024-01-10,49.70,50.01,49.06,49.90,872793
ZZZ,2024-01-10,11.39,11.62,11.21,11.37,2832525
AAA,2024-01-11,103.79,104.03,103.36,103.78,883356
BBB,2024-01-11,49.93,50.09,49.51,49.76,2757143
ZZZ,2024-01-11,11.68,11.74,11.67,11.70,964166
AAA,2024-01-12,106.05,106.13,105.84,106.09,2249099
BBB,2024-01-12,50.27,50.30,49.49,49.89,819080
ZZZ,2024-01-12,12.00,12.05,11.95,12.02,1403252
AAA,2024-01-15,107.15,107.24,106.71,106.87,2142794
BBB,2024-01-15,51.28,51.49,51.10,51.48,1778925
ZZZ,2024-01-15,11.76,11.85,11.63,11.76,2750925
AAA,2024-01-16,106.38,106.89,105.85,106.40,1931406
BBB,2024-01-16,49.59,49.90,49.43,49.87,2695412
ZZZ,2024-01-16,11.46,11.61,11.16,11.37,824059
AAA,2024-01-17,105.14,105.21,104.87,104.93,1477216
BBB,2024-01-17,49.94,50.09,49.73,49.88,2792859
ZZZ,2024-01-17,10.64,10.68,10.30,10.51,1879680
AAA,2024-01-18,105.72,106.10,105.49,105.66,1541300
BBB,2024-01-18,49.95,50.04,49.74,49.78,831781
ZZZ,2024-01-18,10.39,10.49,10.35,10.42,564998
AAA,2024-01-19,104.38,104.71,104.01,104.05,1422463
BBB,2024-01-19,50.54,50.56,50.31,50.41,1204864
ZZZ,2024-01-19,9.82,10.20,9.78,10.02,2481548
AAA,2024-01-22,103.82,103.83,103.25,103.82,1942278
BBB,2024-01-22,51.46,51.60,51.21,51.50,1928656
ZZZ,2024-01-22,9.85,9.86,9.79,9.83,514894
AAA,2024-01-23,104.37,104.54,104.21,104.35,2953399
BBB,2024-01-23,51.46,51.56,51.35,51.50,2828801
ZZZ,2024-01-23,10.29,10.30,10.26,10.28,1260481
AAA,2024-01-24,104.75,105.06,104.41,104.59,2876415
BBB,2024-01-24,51.37,51.39,51.16,51.32,897647
ZZZ,2024-01-24,10.67,11.08,10.48,10.87,600124
AAA,2024-01-25,103.95,104.37,103.80,104.00,1824790
BBB,2024-01-25,50.28,50.31,50.22,50.30,1110059
ZZZ,2024-01-25,10.78,10.81,10.77,10.79,1460634
AAA,2024-01-26,104.16,104.18,104.02,104.17,2325309
BBB,2024-01-26,50.91,51.02,50.31,50.54,1036563
ZZZ,2024-01-26,10.47,10.64,10.40,10.60,2892515
AAA,2024-01-29,102.05,102.31,101.72,102.14,1507836
